,chainId,sourceStage,destinationStage
149,7,Part_0005,Trans_0005
150,7,Part_0006,Trans_0006
151,7,Part_0007,Trans_0007
152,7,Part_0008,Trans_0008
153,7,Part_0009,Trans_0009
154,7,Part_0010,Trans_0010
155,7,Part_0011,Trans_0011
156,7,Part_0012,Trans_0012
157,7,Part_0013,Trans_0013
158,7,Trans_0001,Manuf_0001
159,7,Trans_0001,Manuf_0002
160,7,Trans_0001,Manuf_0003
161,7,Trans_0001,Manuf_0004
162,7,Trans_0001,Manuf_0005
163,7,Trans_0001,Manuf_0006
164,7,Trans_0002,Manuf_0001
165,7,Trans_0002,Manuf_0002
166,7,Trans_0003,Manuf_0003
167,7,Trans_0003,Manuf_0004
168,7,Trans_0004,Manuf_0005
169,7,Trans_0004,Manuf_0006
170,7,Trans_0005,Manuf_0001
171,7,Trans_0005,Manuf_0003
172,7,Trans_0005,Manuf_0005
173,7,Trans_0006,Manuf_0002
174,7,Trans_0006,Manuf_0004
175,7,Trans_0006,Manuf_0006
176,7,Trans_0007,Manuf_0001
177,7,Trans_0007,Manuf_0002
178,7,Trans_0007,Manuf_0004
179,7,Trans_0007,Manuf_0005
180,7,Trans_0007,Manuf_0006
181,7,Trans_0008,Manuf_0001
182,7,Trans_0008,Manuf_0002
183,7,Trans_0008,Manuf_0003
184,7,Trans_0008,Manuf_0004
185,7,Trans_0008,Manuf_0005
186,7,Trans_0008,Manuf_0006
187,7,Trans_0009,Manuf_0001
188,7,Trans_0009,Manuf_0002
189,7,Trans_0009,Manuf_0003
190,7,Trans_0009,Manuf_0004
191,7,Trans_0009,Manuf_0005
192,7,Trans_0009,Manuf_0006
193,7,Trans_0010,Manuf_0001
194,7,Trans_0010,Manuf_0002
195,7,Trans_0010,Manuf_0003
196,7,Trans_0010,Manuf_0004
197,7,Trans_0010,Manuf_0005
198,7,Trans_0010,Manuf_0006
199,7,Trans_0011,Manuf_0001
200,7,Trans_0011,Manuf_0002
201,7,Trans_0011,Manuf_0003
202,7,Trans_0011,Manuf_0004
203,7,Trans_0011,Manuf_0005
204,7,Trans_0011,Manuf_0006
205,7,Trans_0012,Manuf_0001
206,7,Trans_0012,Manuf_0002
207,7,Trans_0012,Manuf_0003
208,7,Trans_0012,Manuf_0004
209,7,Trans_0012,Manuf_0005
210,7,Trans_0012,Manuf_0006
211,7,Trans_0013,Manuf_0001
212,7,Trans_0013,Manuf_0002
213,7,Trans_0013,Manuf_0003
214,7,Trans_0013,Manuf_0004
215,7,Trans_0013,Manuf_0005
216,7,Trans_0013,Manuf_0006
217,8,Dist_0001,Manuf_0001
218,8,Dist_0001,Manuf_0002
219,8,Dist_0002,Manuf_0001
220,8,Dist_0002,Manuf_0002
221,8,Dist_0003,Manuf_0001
222,8,Dist_0003,Manuf_0002
223,8,Dist_0004,Manuf_0001
224,8,Dist_0004,Manuf_0002
225,8,Dist_0005,Manuf_0001
226,8,Dist_0005,Manuf_0002
227,8,Dist_0006,Manuf_0001
228,8,Dist_0006,Manuf_0002
229,8,Dist_0007,Manuf_0001
230,8,Dist_0007,Manuf_0002
231,8,Dist_0008,Manuf_0001
232,8,Dist_0008,Manuf_0002
233,8,Dist_0009,Retail_0001
234,8,Dist_0010,Retail_0002
235,8,Manuf_0001,Trans_0011
236,8,Manuf_0002,Trans_0012
237,8,Manuf_0003,Dist_0009
238,8,Manuf_0004,Dist_0010
239,8,Part_0001,Trans_0001
240,8,Part_0002,Trans_0002
241,8,Part_0003,Trans_0003
242,8,Part_0004,Trans_0004
243,8,Part_0005,Trans_0005
244,8,Part_0006,Trans_0006
245,8,Part_0007,Trans_0007
246,8,Part_0008,Trans_0008
247,8,Part_0009,Trans_0009
248,8,Part_0010,Trans_0010
249,8,Part_0011,Manuf_0001
250,8,Part_0012,Manuf_0002
251,8,Trans_0001,Dist_0001
252,8,Trans_0002,Dist_0002
253,8,Trans_0003,Dist_0003
254,8,Trans_0004,Dist_0004
255,8,Trans_0005,Dist_0005
256,8,Trans_0006,Dist_0006
257,8,Trans_0007,Dist_0007
258,8,Trans_0008,Dist_0008
259,8,Trans_0009,Manuf_0001
260,8,Trans_0009,Manuf_0002
261,8,Trans_0010,Manuf_0001
262,8,Trans_0010,Manuf_0002
263,8,Trans_0011,Manuf_0003
264,8,Trans_0012,Manuf_0004
265,9,Manuf_0001,Trans_0002
266,9,Manuf_0002,Dist_0001
267,9,Manuf_0002,Dist_0002
268,9,Manuf_0002,Dist_0003
269,9,Manuf_0002,Dist_0004
270,9,Manuf_0003,Dist_0005
271,9,Manuf_0003,Dist_0006
272,9,Manuf_0003,Dist_0007
273,9,Manuf_0003,Dist_0008
274,9,Manuf_0003,Dist_0009
275,9,Manuf_0003,Dist_0010
276,9,Manuf_0003,Dist_0011
277,9,Manuf_0003,Dist_0012
278,9,Manuf_0003,Dist_0013
279,9,Manuf_0003,Dist_0014
280,9,Manuf_0003,Dist_0015
281,9,Manuf_0004,Dist_0016
282,9,Manuf_0004,Dist_0017
283,9,Manuf_0004,Dist_0018
284,9,Manuf_0004,Dist_0019
285,9,Manuf_0004,Dist_0020
286,9,Manuf_0004,Dist_0021
287,9,Manuf_0004,Dist_0022
288,9,Manuf_0004,Dist_0023
289,9,Manuf_0004,Dist_0024
290,9,Manuf_0004,Dist_0025
291,9,Manuf_0004,Dist_0026
292,9,Part_0001,Manuf_0001
293,9,Part_0002,Manuf_0001
294,9,Part_0003,Manuf_0001
295,9,Part_0004,Manuf_0001
296,9,Part_0005,Manuf_0001
297,9,Part_0006,Manuf_0001
298,9,Part_0007,Trans_0001
299,9,Part_0008,Trans_0003
300,9,Part_0009,Manuf_0002
301,9,Part_0010,Manuf_0002
302,9,Part_0011,Manuf_0002
303,9,Part_0011,Manuf_0003
304,9,Part_0011,Manuf_0004
305,9,Part_0012,Manuf_0003
306,9,Part_0013,Manuf_0003
307,9,Part_0014,Manuf_0003
308,9,Part_0014,Manuf_0004
309,9,Part_0015,Manuf_0004
310,9,Part_0016,Manuf_0004
311,9,Trans_0001,Manuf_0002
312,9,Trans_0001,Manuf_0003
313,9,Trans_0002,Manuf_0002
314,9,Trans_0002,Manuf_0003
315,9,Trans_0002,Manuf_0004
316,9,Trans_0003,Manuf_0004
317,10,Part_0001,Manuf_0001
318,10,Part_0002,Manuf_0002
319,10,Part_0003,Manuf_0003
320,10,Part_0004,Manuf_0004
321,10,Part_0005,Manuf_0005
322,10,Part_0006,Manuf_0006
323,10,Part_0007,Manuf_0006
324,10,Part_0008,Manuf_0006
325,10,Part_0009,Manuf_0001
326,10,Part_0009,Manuf_0002
327,10,Part_0009,Manuf_0003
328,10,Part_0009,Manuf_0004
329,10,Part_0009,Manuf_0005
330,10,Part_0009,Manuf_0006
331,10,Part_0010,Manuf_0001
332,10,Part_0010,Manuf_0002
333,10,Part_0010,Manuf_0003
334,10,Part_0010,Manuf_0004
335,10,Part_0010,Manuf_0005
336,10,Part_0010,Manuf_0006
337,10,Part_0011,Manuf_0001
338,10,Part_0011,Manuf_0002
339,10,Part_0011,Manuf_0003
340,10,Part_0012,Manuf_0001
341,10,Part_0012,Manuf_0002
342,10,Part_0012,Manuf_0003
343,10,Part_0012,Manuf_0004
344,10,Part_0012,Manuf_0005
345,10,Part_0012,Manuf_0006
346,10,Part_0013,Manuf_0001
347,10,Part_0013,Manuf_0002
348,10,Part_0013,Manuf_0003
349,10,Part_0013,Manuf_0004
350,10,Part_0013,Manuf_0005
351,10,Part_0013,Manuf_0006
352,10,Part_0014,Manuf_0004
353,10,Part_0014,Manuf_0005
354,10,Part_0014,Manuf_0006
355,10,Part_0015,Manuf_0001
356,10,Part_0015,Manuf_0002
357,10,Part_0015,Manuf_0003
358,10,Part_0015,Manuf_0004
359,10,Part_0015,Manuf_0005
360,10,Part_0015,Manuf_0006
361,10,Part_0016,Manuf_0001
362,10,Part_0016,Manuf_0002
363,10,Part_0016,Manuf_0003
364,10,Part_0016,Manuf_0004
365,10,Part_0016,Manuf_0005
366,10,Part_0016,Manuf_0006
367,10,Part_0017,Manuf_0001
368,10,Part_0017,Manuf_0002
369,10,Part_0017,Manuf_0003
370,10,Part_0017,Manuf_0004
371,10,Part_0017,Manuf_0005
372,10,Part_0017,Manuf_0006
373,10,Part_0018,Manuf_0001
374,10,Part_0018,Manuf_0002
375,10,Part_0018,Manuf_0003
376,10,Part_0018,Manuf_0004
377,10,Part_0018,Manuf_0005
378,10,Part_0018,Manuf_0006
379,10,Part_0019,Manuf_0001
380,10,Part_0019,Manuf_0002
381,10,Part_0019,Manuf_0003
382,10,Part_0019,Manuf_0004
383,10,Part_0019,Manuf_0005
384,10,Part_0019,Manuf_0006
385,10,Part_0020,Manuf_0001
386,10,Part_0020,Manuf_0002
387,10,Part_0020,Manuf_0003
388,10,Part_0020,Manuf_0004
389,10,Part_0020,Manuf_0005
390,10,Part_0020,Manuf_0006
391,10,Part_0021,Manuf_0004
392,10,Part_0021,Manuf_0005
393,10,Part_0021,Manuf_0006
394,10,Part_0022,Manuf_0001
395,10,Part_0022,Manuf_0002
396,10,Part_0022,Manuf_0003
397,10,Part_0022,Manuf_0004
398,10,Part_0022,Manuf_0005
399,10,Part_0022,Manuf_0006
400,10,Part_0023,Manuf_0004
401,10,Part_0023,Manuf_0005
402,10,Part_0023,Manuf_0006
403,10,Part_0024,Manuf_0001
404,10,Part_0024,Manuf_0002
405,10,Part_0024,Manuf_0003
406,10,Part_0024,Manuf_0004
407,10,Part_0024,Manuf_0005
408,10,Part_0024,Manuf_0006
409,10,Part_0025,Manuf_0001
410,10,Part_0025,Manuf_0002
411,10,Part_0025,Manuf_0003
412,10,Part_0025,Manuf_0004
413,10,Part_0025,Manuf_0005
414,10,Part_0025,Manuf_0006
415,10,Part_0026,Manuf_0004
416,10,Part_0026,Manuf_0005
417,10,Part_0027,Manuf_0001
418,10,Part_0027,Manuf_0002
419,10,Part_0027,Manuf_0003
420,10,Part_0027,Manuf_0004
421,10,Part_0027,Manuf_0005
422,10,Part_0027,Manuf_0006
423,10,Part_0028,Manuf_0001
424,10,Part_0028,Manuf_0002
425,10,Part_0028,Manuf_0003
426,10,Part_0028,Manuf_0004
427,10,Part_0028,Manuf_0005
428,10,Part_0028,Manuf_0006
429,10,Part_0029,Manuf_0001
430,10,Part_0029,Manuf_0002
431,10,Part_0029,Manuf_0003
432,10,Part_0029,Manuf_0004
433,10,Part_0029,Manuf_0005
434,10,Part_0029,Manuf_0006
435,10,Part_0030,Manuf_0004
436,10,Part_0030,Manuf_0005
437,10,Part_0031,Manuf_0001
438,10,Part_0031,Manuf_0002
439,10,Part_0031,Manuf_0003
440,10,Part_0031,Manuf_0006
441,10,Part_0032,Manuf_0001
442,10,Part_0032,Manuf_0002
443,10,Part_0032,Manuf_0003
444,10,Part_0033,Manuf_0004
445,10,Part_0033,Manuf_0005
446,10,Part_0033,Manuf_0006
447,10,Part_0034,Manuf_0001
448,10,Part_0034,Manuf_0002
449,10,Part_0034,Manuf_0003
450,10,Part_0034,Manuf_0004
451,10,Part_0034,Manuf_0005
452,10,Part_0034,Manuf_0006
453,10,Part_0035,Manuf_0001
454,10,Part_0035,Manuf_0002
455,10,Part_0035,Manuf_0003
456,10,Part_0035,Manuf_0006
457,10,Part_0036,Manuf_0001
458,10,Part_0036,Manuf_0002
459,10,Part_0036,Manuf_0003
460,10,Part_0036,Manuf_0004
461,10,Part_0036,Manuf_0005
462,10,Part_0036,Manuf_0006
463,10,Part_0036,Manuf_0007
464,10,Part_0036,Manuf_0008
465,10,Part_0036,Manuf_0009
466,10,Part_0036,Manuf_0010
467,10,Part_0036,Manuf_0011
468,10,Part_0036,Manuf_0012
469,10,Part_0036,Manuf_0013
470,10,Part_0037,Manuf_0007
471,10,Part_0037,Manuf_0009
472,10,Part_0038,Manuf_0008
473,10,Part_0039,Manuf_0007
474,10,Part_0039,Manuf_0008
475,10,Part_0039,Manuf_0009
476,10,Part_0040,Manuf_0007
477,10,Part_0040,Manuf_0008
478,10,Part_0040,Manuf_0009
479,10,Part_0041,Manuf_0010
480,10,Part_0041,Manuf_0012
481,10,Part_0042,Manuf_0010
482,10,Part_0042,Manuf_0011
483,10,Part_0043,Manuf_0010
484,10,Part_0043,Manuf_0011
485,10,Part_0043,Manuf_0012
486,10,Part_0043,Manuf_0013
487,10,Part_0044,Manuf_0012
488,10,Part_0044,Manuf_0013
489,10,Part_0045,Manuf_0010
490,10,Part_0045,Manuf_0011
491,10,Part_0045,Manuf_0012
492,10,Part_0045,Manuf_0013
493,11,Manuf_0001,Trans_0014
494,11,Manuf_0001,Trans_0015
495,11,Manuf_0001,Trans_0016
496,11,Manuf_0002,Trans_0017
497,11,Manuf_0002,Trans_0018
498,11,Manuf_0002,Trans_0019
499,11,Manuf_0003,Trans_0020
500,11,Manuf_0003,Trans_0021
501,11,Manuf_0003,Trans_0022
502,11,Manuf_0004,Trans_0023
503,11,Manuf_0004,Trans_0024
504,11,Manuf_0004,Trans_0025
505,11,Manuf_0005,Trans_0026
506,11,Manuf_0005,Trans_0027
507,11,Manuf_0005,Trans_0028
508,11,Manuf_0006,Trans_0029
509,11,Manuf_0006,Trans_0030
510,11,Manuf_0006,Trans_0031
511,11,Part_0001,Trans_0001
512,11,Part_0002,Trans_0002
513,11,Part_0003,Trans_0003
514,11,Part_0004,Trans_0004
515,11,Part_0005,Trans_0005
516,11,Part_0006,Trans_0006
517,11,Part_0007,Trans_0007
518,11,Part_0008,Trans_0008
519,11,Part_0009,Trans_0009
520,11,Part_0010,Trans_0010
521,11,Part_0011,Trans_0011
522,11,Part_0012,Trans_0012
523,11,Part_0013,Trans_0013
524,11,Trans_0001,Manuf_0001
525,11,Trans_0001,Manuf_0002
526,11,Trans_0001,Manuf_0003
527,11,Trans_0001,Manuf_0004
528,11,Trans_0001,Manuf_0005
529,11,Trans_0001,Manuf_0006
530,11,Trans_0002,Manuf_0001
531,11,Trans_0002,Manuf_0002
532,11,Trans_0003,Manuf_0003
533,11,Trans_0003,Manuf_0004
534,11,Trans_0004,Manuf_0005
535,11,Trans_0004,Manuf_0006
536,11,Trans_0005,Manuf_0001
537,11,Trans_0005,Manuf_0003
538,11,Trans_0005,Manuf_0005
539,11,Trans_0006,Manuf_0002
540,11,Trans_0006,Manuf_0004
541,11,Trans_0006,Manuf_0006
542,11,Trans_0007,Manuf_0001
543,11,Trans_0007,Manuf_0002
544,11,Trans_0007,Manuf_0004
545,11,Trans_0007,Manuf_0005
546,11,Trans_0007,Manuf_0006
547,11,Trans_0008,Manuf_0001
548,11,Trans_0008,Manuf_0002
549,11,Trans_0008,Manuf_0003
550,11,Trans_0008,Manuf_0004
551,11,Trans_0008,Manuf_0005
552,11,Trans_0008,Manuf_0006
553,11,Trans_0009,Manuf_0001
554,11,Trans_0009,Manuf_0002
555,11,Trans_0009,Manuf_0003
556,11,Trans_0009,Manuf_0004
557,11,Trans_0009,Manuf_0005
558,11,Trans_0009,Manuf_0006
559,11,Trans_0010,Manuf_0001
560,11,Trans_0010,Manuf_0002
561,11,Trans_0010,Manuf_0003
562,11,Trans_0010,Manuf_0004
563,11,Trans_0010,Manuf_0005
564,11,Trans_0010,Manuf_0006
565,11,Trans_0011,Manuf_0001
566,11,Trans_0011,Manuf_0002
567,11,Trans_0011,Manuf_0003
568,11,Trans_0011,Manuf_0004
569,11,Trans_0011,Manuf_0005
570,11,Trans_0011,Manuf_0006
571,11,Trans_0012,Manuf_0001
572,11,Trans_0012,Manuf_0002
573,11,Trans_0012,Manuf_0003
574,11,Trans_0012,Manuf_0004
575,11,Trans_0012,Manuf_0005
576,11,Trans_0012,Manuf_0006
577,11,Trans_0013,Manuf_0001
578,11,Trans_0013,Manuf_0002
579,11,Trans_0013,Manuf_0003
580,11,Trans_0013,Manuf_0004
581,11,Trans_0013,Manuf_0005
582,11,Trans_0013,Manuf_0006
583,11,Trans_0014,Retail_0001
584,11,Trans_0015,Retail_0002
585,11,Trans_0016,Retail_0003
586,11,Trans_0017,Retail_0004
587,11,Trans_0018,Retail_0005
588,11,Trans_0019,Retail_0006
589,11,Trans_0020,Retail_0007
590,11,Trans_0021,Retail_0008
591,11,Trans_0022,Retail_0009
592,11,Trans_0023,Retail_0010
593,11,Trans_0024,Retail_0011
594,11,Trans_0025,Retail_0012
595,11,Trans_0026,Retail_0013
596,11,Trans_0027,Retail_0014
597,11,Trans_0028,Retail_0015
598,11,Trans_0029,Retail_0016
599,11,Trans_0030,Retail_0017
600,11,Trans_0031,Retail_0018
601,12,Manuf_0001,Trans_0004
602,12,Manuf_0002,Trans_0005
603,12,Manuf_0003,Dist_0001
604,12,Manuf_0003,Dist_0002
605,12,Manuf_0003,Dist_0003
606,12,Manuf_0003,Dist_0004
607,12,Manuf_0003,Dist_0005
608,12,Manuf_0004,Dist_0006
609,12,Manuf_0004,Dist_0007
610,12,Manuf_0004,Dist_0008
611,12,Manuf_0004,Dist_0009
612,12,Manuf_0005,Dist_0010
613,12,Manuf_0005,Dist_0011
614,12,Manuf_0005,Dist_0012
615,12,Manuf_0005,Dist_0013
616,12,Manuf_0005,Dist_0014
617,12,Manuf_0005,Dist_0015
618,12,Manuf_0005,Dist_0016
619,12,Manuf_0005,Dist_0017
620,12,Manuf_0005,Dist_0018
621,12,Manuf_0005,Dist_0019
622,12,Manuf_0005,Dist_0020
623,12,Manuf_0006,Dist_0021
624,12,Manuf_0006,Dist_0022
625,12,Manuf_0006,Dist_0023
626,12,Manuf_0006,Dist_0024
627,12,Manuf_0006,Dist_0025
628,12,Manuf_0007,Dist_0026
629,12,Manuf_0007,Dist_0027
630,12,Manuf_0007,Dist_0028
631,12,Manuf_0007,Dist_0029
632,12,Manuf_0008,Dist_0030
633,12,Manuf_0008,Dist_0031
634,12,Manuf_0008,Dist_0032
635,12,Manuf_0008,Dist_0033
636,12,Manuf_0008,Dist_0034
637,12,Manuf_0008,Dist_0035
638,12,Manuf_0008,Dist_0036
639,12,Manuf_0008,Dist_0037
640,12,Manuf_0008,Dist_0038
641,12,Manuf_0008,Dist_0039
642,12,Manuf_0008,Dist_0040
643,12,Manuf_0009,Dist_0041
644,12,Manuf_0009,Dist_0042
645,12,Manuf_0009,Dist_0043
646,12,Manuf_0009,Dist_0044
647,12,Manuf_0009,Dist_0045
648,12,Manuf_0009,Dist_0046
649,12,Manuf_0009,Dist_0047
650,12,Manuf_0009,Dist_0048
651,12,Manuf_0009,Dist_0049
652,12,Manuf_0009,Dist_0050
653,12,Manuf_0009,Dist_0051
654,12,Part_0001,Manuf_0001
655,12,Part_0001,Manuf_0002
656,12,Part_0002,Manuf_0001
657,12,Part_0002,Manuf_0002
658,12,Part_0003,Manuf_0001
659,12,Part_0003,Manuf_0002
660,12,Part_0004,Manuf_0001
661,12,Part_0004,Manuf_0002
662,12,Part_0005,Manuf_0001
663,12,Part_0005,Manuf_0002
664,12,Part_0006,Manuf_0001
665,12,Part_0006,Manuf_0002
666,12,Part_0007,Trans_0001
667,12,Part_0008,Trans_0002
668,12,Part_0009,Trans_0003
669,12,Part_0010,Manuf_0003
670,12,Part_0011,Manuf_0003
671,12,Part_0011,Manuf_0006
672,12,Part_0012,Manuf_0004
673,12,Part_0013,Manuf_0004
674,12,Part_0013,Manuf_0007
675,12,Part_0014,Manuf_0005
676,12,Part_0015,Manuf_0005
677,12,Part_0016,Manuf_0005
678,12,Part_0016,Manuf_0008
679,12,Part_0016,Manuf_0009
680,12,Part_0017,Manuf_0006
681,12,Part_0018,Manuf_0007
682,12,Part_0019,Manuf_0003
683,12,Part_0019,Manuf_0004
684,12,Part_0019,Manuf_0005
685,12,Part_0019,Manuf_0006
686,12,Part_0019,Manuf_0007
687,12,Part_0019,Manuf_0008
688,12,Part_0019,Manuf_0009
689,12,Part_0020,Manuf_0008
690,12,Part_0021,Manuf_0008
691,12,Part_0022,Manuf_0009
692,12,Part_0023,Manuf_0009
693,12,Trans_0001,Manuf_0009
694,12,Trans_0002,Manuf_0006
695,12,Trans_0002,Manuf_0007
696,12,Trans_0002,Manuf_0008
697,12,Trans_0002,Manuf_0009
698,12,Trans_0003,Manuf_0003
699,12,Trans_0003,Manuf_0004
700,12,Trans_0003,Manuf_0005
701,12,Trans_0004,Manuf_0003
702,12,Trans_0004,Manuf_0004
703,12,Trans_0004,Manuf_0005
704,12,Trans_0004,Manuf_0006
705,12,Trans_0004,Manuf_0007
706,12,Trans_0004,Manuf_0008
707,12,Trans_0005,Manuf_0009
708,13,Manuf_0001,Manuf_0099
709,13,Manuf_0001,Manuf_0101
710,13,Manuf_0001,Manuf_0102
711,13,Manuf_0001,Manuf_0103
712,13,Manuf_0001,Manuf_0104
713,13,Manuf_0001,Manuf_0107
714,13,Manuf_0002,Manuf_0099
715,13,Manuf_0002,Manuf_0101
716,13,Manuf_0002,Manuf_0102
717,13,Manuf_0002,Manuf_0103
718,13,Manuf_0002,Manuf_0104
719,13,Manuf_0002,Manuf_0106
720,13,Manuf_0002,Manuf_0107
721,13,Manuf_0003,Manuf_0099
722,13,Manuf_0003,Manuf_0101
723,13,Manuf_0003,Manuf_0102
724,13,Manuf_0004,Manuf_0099
725,13,Manuf_0004,Manuf_0101
726,13,Manuf_0004,Manuf_0102
727,13,Manuf_0004,Manuf_0103
728,13,Manuf_0004,Manuf_0104
729,13,Manuf_0004,Manuf_0106
730,13,Manuf_0004,Manuf_0107
731,13,Manuf_0005,Manuf_0099
732,13,Manuf_0005,Manuf_0101
733,13,Manuf_0005,Manuf_0102
734,13,Manuf_0005,Manuf_0103
735,13,Manuf_0005,Manuf_0104
736,13,Manuf_0005,Manuf_0106
737,13,Manuf_0005,Manuf_0107
738,13,Manuf_0006,Manuf_0099
739,13,Manuf_0006,Manuf_0101
740,13,Manuf_0006,Manuf_0102
741,13,Manuf_0006,Manuf_0103
742,13,Manuf_0006,Manuf_0104
743,13,Manuf_0006,Manuf_0106
744,13,Manuf_0006,Manuf_0107
745,13,Manuf_0007,Manuf_0100
746,13,Manuf_0007,Manuf_0101
747,13,Manuf_0007,Manuf_0102
748,13,Manuf_0007,Manuf_0103
749,13,Manuf_0007,Manuf_0104
750,13,Manuf_0007,Manuf_0106
751,13,Manuf_0007,Manuf_0107
752,13,Manuf_0007,Manuf_0108
753,13,Manuf_0008,Manuf_0100
