,chainId,Stage_Name,stageCost,relDepth,stageClassification,avgDemand,stdDevDemand,maxServiceTime,serviceLevel,stageTime,stdDev_stageTime,stageTime_1,stageTime_%_1,stageTime_2,stageTime_%_2,stageTime_3,stageTime_%_3,stageTime_4,stageTime_%_4,stageTime_5,stageTime_%_5,stageTime_6,stageTime_%_6,xPosition,yPosition,Unnamed: 25
97,6,Manuf_0003,0.15,3,Manuf,,,,,53.0,,,,,,,,,,,,,,80,288,
98,6,Dist_0001,0.25,0,Dist,760.23,3.01,0.0,0.96,9.0,2.0,,,,,,,,,,,,,496,32,
99,6,Dist_0004,0.25,0,Dist,126.53,3.09,0.0,0.96,9.0,2.0,,,,,,,,,,,,,496,224,
100,6,Dist_0007,0.25,0,Dist,1708.98,3.15,0.0,0.96,9.0,2.0,,,,,,,,,,,,,496,416,
101,6,Dist_0010,0.25,0,Dist,1600.58,3.14,0.0,0.96,9.0,2.0,,,,,,,,,,,,,496,608,
102,6,Manuf_0001,0.25,3,Manuf,,,,,53.0,,,,,,,,,,,,,,80,96,
103,6,Dist_0003,0.35,0,Dist,196.78,2.5,0.0,0.96,14.0,3.0,,,,,,,,,,,,,496,160,
104,6,Dist_0006,0.35,0,Dist,191.48,2.57,0.0,0.96,14.0,3.0,,,,,,,,,,,,,496,352,
105,6,Dist_0009,0.35,0,Dist,156.35,2.63,0.0,0.96,14.0,3.0,,,,,,,,,,,,,496,544,
106,6,Dist_0012,0.35,0,Dist,881.83,2.5,0.0,0.96,14.0,3.0,,,,,,,,,,,,,496,768,
107,6,Manuf_0004,0.83,3,Manuf,,,,,53.0,,,,,,,,,,,,,,80,480,
108,6,Manuf_0002,0.85,3,Manuf,,,,,60.0,,,,,,,,,,,,,,80,192,
109,6,Manuf_0006,0.86,3,Manuf,,,,,53.0,,,,,,,,,,,,,,80,688,
110,6,Manuf_0005,0.91,3,Manuf,,,,,60.0,,,,,,,,,,,,,,80,576,
111,6,Manuf_0009,1.11,1,Manuf,,,,,18.0,4.0,,,,,,,,,,,,,352,480,
112,6,Manuf_0010,1.16,1,Manuf,,,,,18.0,4.0,,,,,,,,,,,,,352,688,
113,6,Manuf_0007,1.21,1,Manuf,,,,,20.0,5.0,,,,,,,,,,,,,352,96,
114,6,Manuf_0008,1.43,1,Manuf,,,,,20.0,5.0,,,,,,,,,,,,,352,288,
115,7,Trans_0011,35,2,Trans,,,,,7.74,0.19,,,,,,,,,,,,,240,656,
116,7,Trans_0009,90,2,Trans,,,,,8.9,0.25,,,,,,,,,,,,,240,528,
117,7,Trans_0001,98,2,Trans,,,,,12.0,0.43,,,,,,,,,,,,,240,16,
118,7,Trans_0006,118,2,Trans,,,,,9.0,2.89,,,,,,,,,,,,,240,336,
119,7,Trans_0002,124,2,Trans,,,,,8.0,0.28,,,,,,,,,,,,,240,80,
120,7,Trans_0012,137,2,Trans,,,,,8.71,0.23,,,,,,,,,,,,,240,720,
121,7,Trans_0005,138,2,Trans,,,,,9.0,1.77,,,,,,,,,,,,,240,272,
122,7,Trans_0003,142,2,Trans,,,,,7.0,0.23,,,,,,,,,,,,,240,144,
123,7,Trans_0004,145,2,Trans,,,,,7.0,0.25,,,,,,,,,,,,,240,208,
124,7,Trans_0013,148,2,Trans,,,,,7.32,0.26,,,,,,,,,,,,,240,784,
125,7,Trans_0008,248,2,Trans,,,,,6.66,0.16,,,,,,,,,,,,,240,464,
126,7,Trans_0007,321,2,Trans,,,,,8.0,0.29,,,,,,,,,,,,,240,400,
127,7,Trans_0010,495,2,Trans,,,,,34.0,0.65,,,,,,,,,,,,,240,592,
128,7,Retail_0002,726,0,Retail,1.99,0.86,10.0,0.95,4.0,1.51,,,,,,,,,,,,,560,208,
129,7,Retail_0006,730,0,Retail,1.07,0.67,10.0,0.95,7.0,0.12,,,,,,,,,,,,,560,704,
130,7,Retail_0005,840,0,Retail,0.74,0.81,10.0,0.95,5.0,0.18,,,,,,,,,,,,,560,576,
131,7,Retail_0001,849,0,Retail,2.03,1.6,10.0,0.95,6.0,1.66,,,,,,,,,,,,,560,80,
132,7,Retail_0003,953,0,Retail,0.9,1.0,10.0,0.95,6.0,2.98,,,,,,,,,,,,,560,320,
133,7,Retail_0004,1023,0,Retail,1.34,1.09,10.0,0.95,5.0,0.2,,,,,,,,,,,,,560,448,
134,7,Part_0001,1091,3,Part,,,,,7.0,0.18,,,,,,,,,,,,,80,16,
135,7,Part_0004,4281,3,Part,,,,,9.31,0.34,,,,,,,,,,,,,80,208,
136,7,Part_0003,4696,3,Part,,,,,10.19,0.31,,,,,,,,,,,,,80,144,
137,7,Part_0002,5147,3,Part,,,,,10.35,0.26,,,,,,,,,,,,,80,80,
138,7,Part_0005,8045,3,Part,,,,,25.0,0.3,,,,,,,,,,,,,80,272,
139,7,Part_0006,8799,3,Part,,,,,8.54,0.2,,,,,,,,,,,,,80,336,
140,7,Part_0008,10070,3,Part,,,,,33.0,3.1,,,,,,,,,,,,,80,464,
141,7,Part_0010,11028,3,Part,,,,,9.0,0.33,,,,,,,,,,,,,80,592,
142,7,Part_0009,11179,3,Part,,,,,6.0,0.15,,,,,,,,,,,,,80,528,
143,7,Part_0011,11269,3,Part,,,,,7.0,0.2,,,,,,,,,,,,,80,656,
144,7,Part_0012,11988,3,Part,,,,,4.0,0.05,,,,,,,,,,,,,80,720,
145,7,Manuf_0002,16395,1,Manuf,,,,,34.0,2.71,,,,,,,,,,,,,416,208,
146,7,Manuf_0004,19070,1,Manuf,,,,,35.0,1.85,,,,,,,,,,,,,416,448,
147,7,Manuf_0006,19452,1,Manuf,,,,,35.0,2.67,,,,,,,,,,,,,416,704,
148,7,Manuf_0001,20255,1,Manuf,,,,,28.0,1.56,,,,,,,,,,,,,416,80,
149,7,Manuf_0003,21581,1,Manuf,,,,,34.0,2.95,,,,,,,,,,,,,416,320,
150,7,Manuf_0005,21641,1,Manuf,,,,,34.0,1.8,,,,,,,,,,,,,416,576,
151,7,Part_0007,24192,3,Part,,,,,10.0,3.0,,,,,,,,,,,,,80,400,
152,7,Part_0013,37499,3,Part,,,,,7.0,0.16,,,,,,,,,,,,,80,784,
153,8,Retail_0001,0,0,Retail,653.5,849.55,5.0,0.95,5.0,,,,,,,,,,,,,,912,320,
154,8,Retail_0002,0,0,Retail,882.25,1279.26,5.0,"0,95",5.0,,,,,,,,,,,,,,912,448,
155,8,Dist_0001,0.06,5,Dist,,,,,9.5,0.5,9,0.5,10,0.5,,,,,,,,,320,224,
156,8,Dist_0002,0.06,5,Dist,,,,,9.5,0.5,9,0.5,10,0.5,,,,,,,,,320,288,
157,8,Dist_0003,0.06,5,Dist,,,,,9.5,0.5,9,0.5,10,0.5,,,,,,,,,320,352,
158,8,Dist_0004,0.06,5,Dist,,,,,9.5,0.5,9,0.5,10,0.5,,,,,,,,,320,416,
159,8,Dist_0005,0.06,5,Dist,,,,,9.5,0.5,9,0.5,10,0.5,,,,,,,,,320,480,
160,8,Dist_0006,0.06,5,Dist,,,,,9.5,0.5,9,0.5,10,0.5,,,,,,,,,320,544,
161,8,Dist_0007,0.08,5,Dist,,,,,9.5,0.5,9,0.5,10,0.5,,,,,,,,,320,608,
162,8,Dist_0008,0.08,5,Dist,,,,,9.5,0.5,9,0.5,10,0.5,,,,,,,,,320,672,
163,8,Trans_0001,0.34,6,Trans,,,,,8.8,1.47,7,0.4,10,0.6,,,,,,,,,192,224,
164,8,Trans_0002,0.34,6,Trans,,,,,4.0,0.0,4,1,,,,,,,,,,,192,288,
165,8,Trans_0003,0.34,6,Trans,,,,,4.0,,,,,,,,,,,,,,192,352,
166,8,Trans_0004,0.34,6,Trans,,,,,6.0,,,,,,,,,,,,,,192,416,
167,8,Trans_0005,0.34,6,Trans,,,,,4.0,,,,,,,,,,,,,,192,480,
168,8,Trans_0006,0.34,6,Trans,,,,,6.0,,,,,,,,,,,,,,192,544,
169,8,Trans_0007,0.34,6,Trans,,,,,6.0,,,,,,,,,,,,,,192,608,
170,8,Trans_0008,0.34,6,Trans,,,,,4.0,,,,,,,,,,,,,,192,672,
171,8,Trans_0009,0.34,5,Trans,,,,,2.2,0.4,2,0.8,3,0.2,,,,,,,,,320,96,
172,8,Trans_0010,0.34,5,Trans,,,,,2.4,0.49,2,0.6,3,0.4,,,,,,,,,320,160,
173,8,Trans_0011,0.34,3,Trans,,,,,17.5,0.5,17,0.5,18,0.5,,,,,,,,,608,320,
174,8,Trans_0012,0.34,3,Trans,,,,,17.5,0.5,17,0.5,18,0.5,,,,,,,,,608,448,
175,8,Dist_0009,0.6,1,Dist,,,,,4.0,,,,,,,,,,,,,,800,320,
176,8,Dist_0010,0.6,1,Dist,,,,,4.0,,,,,,,,,,,,,,800,448,
177,8,Manuf_0003,1.28,2,Manuf,,,,,2.74,0.86,1,0.09,2,0.24,3,0.52,4,0.14,5.0,0.01,7.0,0.0,704,320,
178,8,Manuf_0004,1.28,2,Manuf,,,,,2.74,0.86,1,0.09,2,0.24,3,0.52,4,0.14,5.0,0.01,7.0,0.0,704,448,
179,8,Part_0003,2.16,7,Part,,,,,17.5,2.5,15,0.5,20,0.5,,,,,,,,,48,352,
180,8,Part_0005,2.9,7,Part,,,,,17.5,2.5,15,0.5,20,0.5,,,,,,,,,48,480,
181,8,Part_0001,3.25,7,Part,,,,,42.5,2.5,1,0.5,45,0.5,,,,,,,,,48,224,
182,8,Part_0012,4.03,5,Part,,,,,37.5,2.5,35,0.5,40,0.5,,,,,,,,,320,736,
183,8,Part_0007,5.45,7,Part,,,,,17.5,2.5,15,0.5,20,0.5,,,,,,,,,48,608,
184,8,Part_0011,6.34,5,Part,,,,,32.5,2.5,30,0.5,35,0.5,,,,,,,,,320,32,
185,8,Part_0008,6.6,7,Part,,,,,40.0,0.0,40,1,,,,,,,,,,,48,672,
186,8,Part_0006,7.71,7,Part,,,,,40.0,0.0,40,1,,,,,,,,,,,48,544,
187,8,Part_0010,8.2,6,Part,,,,,42.5,2.5,40,0.5,45,0.5,,,,,,,,,192,160,
188,8,Manuf_0001,9.45,4,Manuf,,,,,1.0,,,,,,,,,,,,,,496,320,
189,8,Manuf_0002,9.45,4,Manuf,,,,,1.0,,,,,,,,,,,,,,496,448,
190,8,Part_0004,10.14,7,Part,,,,,38.0,4.0,30,0.2,40,0.8,,,,,,,,,48,416,
191,8,Part_0002,11.96,7,Part,,,,,40.0,,,,,,,,,,,,,,48,288,
192,8,Part_0009,41.75,6,Part,,,,,40.0,,,,,,,,,,,,,,192,96,
193,9,Trans_0001,0,2,Trans,,,,,2.0,,,,,,,,,,,,,,368,192,
194,9,Trans_0002,0,2,Trans,,,,,2.0,,,,,,,,,,,,,,368,560,
195,9,Trans_0003,0,2,Trans,,,,,2.0,,,,,,,,,,,,,,368,1376,
196,9,Part_0011,0.03,2,Part,,,,,28.0,,,,,,,,,,,,,,368,624,
197,9,Part_0012,0.06,2,Part,,,,,24.0,,,,,,,,,,,,,,368,688,
198,9,Part_0015,0.06,2,Part,,,,,21.0,,,,,,,,,,,,,,368,1248,
199,9,Part_0004,0.08,4,Part,,,,,23.0,,,,,,,,,,,,,,48,592,
200,9,Part_0005,0.09,4,Part,,,,,25.0,,,,,,,,,,,,,,48,656,
201,9,Part_0001,0.18,4,Part,,,,,27.0,,,,,,,,,,,,,,48,400,
202,9,Part_0016,0.22,2,Part,,,,,24.0,,,,,,,,,,,,,,368,1312,
203,9,Manuf_0001,0.23,3,Manuf,,,,,2.0,,,,,,,,,,,,,,208,560,
204,9,Part_0009,0.26,2,Part,,,,,26.33,4.76,,,,,,,,,,,,,368,64,
205,9,Part_0013,0.32,2,Part,,,,,18.0,,,,,,,,,,,,,,368,752,
206,9,Part_0003,0.33,4,Part,,,,,26.0,,,,,,,,,,,,,,48,528,
207,9,Part_0010,0.34,2,Part,,,,,22.0,,,,,,,,,,,,,,368,128,
208,9,Part_0006,0.43,4,Part,,,,,24.0,,,,,,,,,,,,,,48,720,
209,9,Part_0014,0.44,2,Part,,,,,19.0,,,,,,,,,,,,,,368,816,
210,9,Part_0002,0.45,4,Part,,,,,26.0,,,,,,,,,,,,,,48,464,
211,9,Dist_0009,0.5,0,Dist,291.0,558.72,2.0,0.95,4.59,0.3,,,,,,,,,,,,,736,544,
212,9,Dist_0013,0.5,0,Dist,271.0,441.73,2.0,0.95,4.0,,,,,,,,,,,,,,736,800,
213,9,Dist_0003,0.56,0,Dist,63.0,86.94,2.0,0.95,4.29,0.2,,,,,,,,,,,,,736,160,
214,9,Dist_0026,0.59,0,Dist,162.0,202.5,2.0,0.95,4.0,,,,,,,,,,,,,,736,1632,
215,9,Dist_0007,0.61,0,Dist,429.0,592.02,2.0,0.95,5.88,0.26,,,,,,,,,,,,,736,416,
216,9,Dist_0019,0.62,0,Dist,535.0,1278.65,2.0,0.95,2.0,,,,,,,,,,,,,,736,1184,
217,9,Dist_0014,0.65,0,Dist,868.0,1562.4,2.0,0.95,3.0,,,,,,,,,,,,,,736,864,
218,9,Dist_0020,0.69,0,Dist,349.0,471.15,2.0,0.95,4.54,0.2,,,,,,,,,,,,,736,1248,
219,9,Dist_0001,0.71,0,Dist,125.0,187.5,2.0,0.95,3.0,,,,,,,,,,,,,,736,32,
220,9,Dist_0010,0.71,0,Dist,554.0,1002.74,2.0,0.95,3.0,,,,,,,,,,,,,,736,608,
221,9,Dist_0008,0.72,0,Dist,476.0,856.8,2.0,0.95,2.0,,,,,,,,,,,,,,736,480,
222,9,Dist_0011,0.73,0,Dist,410.0,500.2,2.0,0.95,5.16,0.29,,,,,,,,,,,,,736,672,
223,9,Dist_0018,0.73,0,Dist,484.0,1108.36,2.0,0.95,4.0,,,,,,,,,,,,,,736,1120,
224,9,Manuf_0002,0.74,1,Manuf,,,,,1.0,,,,,,,,,,,,,,544,128,
225,9,Dist_0012,0.75,0,Dist,775.0,1123.75,2.0,0.95,2.0,,,,,,,,,,,,,,736,736,
226,9,Dist_0022,0.75,0,Dist,870.0,1618.2,2.0,0.95,3.0,,,,,,,,,,,,,,736,1376,
227,9,Dist_0021,0.76,0,Dist,355.0,635.45,2.0,0.95,4.51,0.28,,,,,,,,,,,,,736,1312,
228,9,Dist_0016,0.77,0,Dist,215.0,574.05,2.0,0.95,3.57,0.18,,,,,,,,,,,,,736,992,
229,9,Dist_0015,0.79,0,Dist,710.0,1668.5,2.0,0.95,3.0,,,,,,,,,,,,,,736,928,
230,9,Dist_0023,0.8,0,Dist,463.0,504.67,2.0,0.95,3.0,,,,,,,,,,,,,,736,1440,
231,9,Dist_0006,0.81,0,Dist,1017.0,1657.71,2.0,0.95,4.0,,,,,,,,,,,,,,736,352,
232,9,Dist_0024,0.81,0,Dist,325.0,419.25,2.0,0.95,3.0,,,,,,,,,,,,,,736,1504,
233,9,Dist_0025,0.82,0,Dist,312.0,496.08,2.0,0.95,2.0,,,,,,,,,,,,,,736,1568,
234,9,Dist_0002,0.83,0,Dist,135.0,155.25,2.0,0.95,3.0,,,,,,,,,,,,,,736,96,
235,9,Dist_0004,0.84,0,Dist,61.0,124.44,2.0,0.95,4.31,0.21,,,,,,,,,,,,,736,224,
236,9,Dist_0005,0.84,0,Dist,599.0,766.72,2.0,0.95,3.0,,,,,,,,,,,,,,736,288,
237,9,Dist_0017,0.85,0,Dist,728.0,2038.4,2.0,0.95,2.0,,,,,,,,,,,,,,736,1056,
238,9,Manuf_0003,1.07,1,Manuf,,,,,2.0,,,,,,,,,,,,,,544,560,
239,9,Manuf_0004,1.28,1,Manuf,,,,,1.0,,,,,,,,,,,,,,544,1312,
240,9,Part_0008,18.02,3,Part,,,,,37.5,4.33,35,0.75,45,0.25,,,,,,,,,208,1376,
241,9,Part_0007,18.61,3,Part,,,,,37.5,4.33,35,0.75,45,0.25,,,,,,,,,208,192,
242,10,Part_0034,3.92,1,Part,,,,,44.0,,,,,,,,,,,,,,48,2128,
243,10,Part_0010,4,1,Part,,,,,43.0,,,,,,,,,,,,,,48,592,
244,10,Part_0040,4.01,1,Part,,,,,31.0,,,,,,,,,,,,,,48,2512,
245,10,Part_0042,4.37,1,Part,,,,,52.0,,,,,,,,,,,,,,48,2640,
246,10,Part_0036,4.48,1,Part,,,,,34.0,,,,,,,,,,,,,,48,2256,
247,10,Part_0006,4.49,1,Part,,,,,55.0,,,,,,,,,,,,,,48,336,
248,10,Part_0028,4.63,1,Part,,,,,46.0,,,,,,,,,,,,,,48,1744,
249,10,Part_0004,4.65,1,Part,,,,,46.0,,,,,,,,,,,,,,48,208,
250,10,Part_0001,4.69,1,Part,,,,,39.0,,,,,,,,,,,,,,48,16,
251,10,Part_0003,4.81,1,Part,,,,,22.0,,,,,,,,,,,,,,48,144,
252,10,Part_0029,4.84,1,Part,,,,,49.0,,,,,,,,,,,,,,48,1808,
253,10,Part_0044,4.99,1,Part,,,,,52.0,,,,,,,,,,,,,,48,2768,
254,10,Part_0005,5,1,Part,,,,,24.0,,,,,,,,,,,,,,48,272,
255,10,Part_0002,5.09,1,Part,,,,,26.0,,,,,,,,,,,,,,48,80,
